,Date,State/UnionTerritory,Deaths,Confirmed,StatePopulation,DaysCovariate,DateI
0,2020/01/22,Japan,0,0.000002,125.95,0,0
1,2020/01/23,Japan,0,0.000002,125.95,0,1
2,2020/01/24,Japan,0,0.000002,125.95,0,2
3,2020/01/25,Japan,0,0.000002,125.95,0,3
4,2020/01/26,Japan,0,0.000004,125.95,0,4
5,2020/01/27,Japan,0,0.000004,125.95,0,5
6,2020/01/28,Japan,0,0.000007,125.95,0,6
7,2020/01/29,Japan,0,0.000007,125.95,0,7
8,2020/01/30,Japan,0,0.000011,125.95,0,8
9,2020/01/31,Japan,0,0.000015,125.95,0,9
10,2020/02/01,Japan,0,0.00002,125.95,0,10
11,2020/02/02,Japan,0,0.00002,125.95,0,11
12,2020/02/03,Japan,0,0.00002,125.95,0,12
13,2020/02/04,Japan,0,0.000022,125.95,0,13
14,2020/02/05,Japan,0,0.000022,125.95,0,14
15,2020/02/06,Japan,0,0.000022,125.95,0,15
16,2020/02/07,Japan,0,0.000025,125.95,0,16
17,2020/02/08,Japan,0,0.000025,125.95,0,17
18,2020/02/09,Japan,0,0.000026,125.95,0,18
19,2020/02/10,Japan,0,0.000026,125.95,0,19
20,2020/02/11,Japan,0,0.000026,125.95,0,20
21,2020/02/12,Japan,0,0.000028,125.95,0,21
22,2020/02/13,Japan,0.000001,0.000028,125.95,0,22
23,2020/02/14,Japan,0.000001,0.000029,125.95,0,23
24,2020/02/15,Japan,0.000001,0.000043,125.95,0,24
25,2020/02/16,Japan,0.000001,0.000059,125.95,0,25
26,2020/02/17,Japan,0.000001,0.000066,125.95,0,26
27,2020/02/18,Japan,0.000001,0.000074,125.95,0,27
28,2020/02/19,Japan,0.000001,0.000084,125.95,0,28
29,2020/02/20,Japan,0.000001,0.000094,125.95,0,29
30,2020/02/21,Japan,0.000001,0.000105,125.95,0,30
31,2020/02/22,Japan,0.000001,0.000122,125.95,0,31
32,2020/02/23,Japan,0.000001,0.000147,125.95,0,32
33,2020/02/24,Japan,0.000001,0.000159,125.95,0,33
34,2020/02/25,Japan,0.000001,0.00017,125.95,0,34
35,2020/02/26,Japan,0.000002,0.000189,125.95,0,35
36,2020/02/27,Japan,0.000004,0.000214,125.95,0,36
37,2020/02/28,Japan,0.000004,0.000228,125.95,0,37
38,2020/02/29,Japan,0.000005,0.000241,125.95,0,38
39,2020/03/01,Japan,0.000006,0.000256,125.95,0,39
40,2020/03/02,Japan,0.000006,0.000274,125.95,0,40
41,2020/03/03,Japan,0.000006,0.000293,125.95,0,41
42,2020/03/04,Japan,0.000006,0.000331,125.95,0,42
43,2020/03/05,Japan,0.000006,0.00036,125.95,0,43
44,2020/03/06,Japan,0.000006,0.00042,125.95,0,44
45,2020/03/07,Japan,0.000006,0.000461,125.95,0,45
46,2020/03/08,Japan,0.000006,0.000502,125.95,0,46
47,2020/03/09,Japan,0.00001,0.000511,125.95,0,47
48,2020/03/10,Japan,0.00001,0.000581,125.95,0,48
49,2020/03/11,Japan,0.000015,0.000639,125.95,0,49
50,2020/03/12,Japan,0.000016,0.000639,125.95,0,50
51,2020/03/13,Japan,0.000019,0.000701,125.95,0,51
52,2020/03/14,Japan,0.000022,0.000773,125.95,0,52
53,2020/03/15,Japan,0.000022,0.000839,125.95,0,53
54,2020/03/16,Japan,0.000027,0.000839,125.95,0,54
55,2020/03/17,Japan,0.000029,0.000878,125.95,0,55
56,2020/03/18,Japan,0.000029,0.000889,125.95,0,56
57,2020/03/19,Japan,0.000029,0.000924,125.95,0,57
58,2020/03/20,Japan,0.000033,0.000963,125.95,0,58
59,2020/03/21,Japan,0.000035,0.001007,125.95,0,59
60,2020/03/22,Japan,0.000041,0.001101,125.95,0,60
61,2020/03/23,Japan,0.000042,0.001128,125.95,0,61
62,2020/03/24,Japan,0.000043,0.001193,125.95,0,62
63,2020/03/25,Japan,0.000045,0.001307,125.95,0,63
64,2020/03/26,Japan,0.000047,0.001387,125.95,0,64
65,2020/03/27,Japan,0.000049,0.001468,125.95,0,65
66,2020/03/28,Japan,0.000052,0.001693,125.95,0,66
67,2020/03/29,Japan,0.000054,0.001866,125.95,0,67
68,2020/03/30,Japan,0.000054,0.001866,125.95,0,68
69,2020/03/31,Japan,0.000056,0.001953,125.95,0,69
70,2020/04/01,Japan,0.000057,0.002178,125.95,0,70
71,2020/04/02,Japan,0.000062,0.002495,125.95,0,71
72,2020/04/03,Japan,0.000063,0.002617,125.95,0,72
73,2020/04/04,Japan,0.000077,0.003139,125.95,0,73
74,2020/04/05,Japan,0.000077,0.003139,125.95,0,74